0,410.241577,0.97,64.98
0,408.881622,1.00,93.18
1,340.383240,1.00,85.08
2,283.563995,1.00,84.40
3,244.153351,1.00,84.47
4,212.286163,1.00,84.37
5,191.539978,1.00,85.32
0,410.188202,1.00,91.15
1,342.294281,1.00,83.35
2,284.575989,1.00,83.81
3,244.358551,1.00,86.02
4,213.342712,1.00,86.30
5,192.031921,1.00,83.44
6,175.224060,1.00,83.59
7,166.254410,1.00,82.46
8,159.455307,1.00,83.10
9,157.335068,1.00,81.27
10,158.244339,1.00,83.12
11,156.514923,1.00,80.62
12,154.407745,1.00,83.12
27,303.680786,1.00,80.84
28,297.446716,1.00,80.63
29,292.977753,1.00,80.51
30,288.391876,1.00,83.15
31,283.338470,1.00,80.26
32,278.657990,1.00,80.46
33,274.212524,1.00,80.60
34,268.962738,1.00,80.93
35,266.699493,1.00,80.94
36,261.245941,1.00,80.66
37,256.236786,1.00,80.97
38,254.318802,1.00,80.82
39,249.576859,1.00,81.12
40,246.164642,1.00,80.31
41,243.538010,1.00,80.49
42,239.557083,1.00,80.39
570,102.451561,0.66,0.94,63.35960936546326
571,102.338928,0.66,0.90,58.89945864677429
572,103.150826,0.67,0.82,58.90509533882141
573,102.580719,0.66,0.80,58.85819101333618
574,101.979897,0.66,0.86,58.83652067184448
575,108.397392,0.68,0.91,58.93585801124573
576,112.144157,0.69,0.88,58.96047830581665
577,105.041031,0.67,0.83,58.91880941390991
578,114.724152,0.70,0.83,58.852944135665894
579,121.975822,0.74,0.86,58.837780475616455
580,116.672989,0.71,0.96,58.861924171447754
581,116.702332,0.72,0.97,58.95892333984375
582,111.221672,0.69,0.95,58.798773765563965
583,105.898430,0.67,0.78,58.83875799179077
584,105.047592,0.67,0.82,58.87276005744934
585,103.172585,0.67,0.87,58.916281938552856
586,106.316727,0.67,0.97,58.82138276100159
587,103.293503,0.65,0.89,58.8137526512146
588,102.766830,0.66,0.90,58.806833028793335
589,103.275375,0.66,0.87,58.59202694892883
590,101.369934,0.65,0.90,58.604140520095825
591,103.243233,0.66,0.95,58.52729821205139
592,101.399796,0.64,0.92,58.51318621635437
593,104.188301,0.66,0.88,58.47255229949951
594,102.640839,0.66,0.89,58.50781321525574
595,101.102455,0.65,0.88,58.51850080490112
596,102.331642,0.66,0.89,58.60285139083862
597,101.240875,0.65,0.85,58.4715633392334
598,101.780724,0.65,0.84,58.58189272880554
599,102.151733,0.65,0.92,58.538310289382935
600,101.073563,0.65,0.74,58.56464648246765
601,102.605721,0.67,0.90,58.54100728034973
570,106.446205,0.65,0.86,85.63117384910583
571,102.063927,0.58,0.93,78.50484991073608
572,101.818604,0.60,0.89,79.1433675289154
573,106.080147,0.62,0.92,78.47739362716675
574,103.739723,0.60,0.82,79.16802501678467
575,104.176079,0.64,0.89,79.47908735275269
576,102.156303,0.61,0.88,80.6841356754303
577,104.663055,0.60,0.89,78.41428399085999
578,106.216499,0.67,0.88,78.56065392494202
579,102.915894,0.61,0.88,78.12696528434753
580,103.660439,0.68,0.87,76.58364963531494
581,102.893059,0.66,0.92,77.490891456604
582,102.729973,0.62,0.94,76.3562650680542
583,102.831627,0.57,0.86,77.52467703819275
584,106.064857,0.65,0.85,78.47902226448059
585,117.155357,0.73,0.90,78.02177023887634
586,105.161041,0.63,0.87,76.54934048652649
587,104.111954,0.60,0.90,77.08852529525757
588,103.954819,0.67,0.96,76.46297645568848
589,104.024918,0.62,0.87,76.13472366333008
590,102.382347,0.60,0.90,76.30095219612122
591,102.872154,0.61,0.93,78.2938768863678
592,103.459358,0.66,0.88,76.32677102088928
593,103.680580,0.64,0.89,78.320955991745
594,100.187210,0.60,0.80,76.58873534202576
595,103.727943,0.64,0.89,78.21874761581421
596,100.648872,0.62,0.87,76.11357593536377
597,103.620216,0.64,0.90,76.27772808074951
598,103.341568,0.67,0.81,76.2545177936554
599,105.407356,0.59,0.89,76.23269486427307
600,103.902336,0.60,0.88,76.5084502696991
601,104.557510,0.60,0.90,76.25903630256653
602,103.179802,0.63,0.94,76.05846118927002
603,102.588013,0.65,0.92,76.02708721160889
604,105.195862,0.61,0.91,76.3482825756073
605,100.844795,0.65,0.90,76.00176310539246
606,102.758774,0.62,0.90,76.18459105491638
607,101.862190,0.62,0.92,76.12328577041626
608,102.783638,0.59,0.86,76.44382691383362
609,105.570908,0.60,0.81,75.93058633804321
610,101.883934,0.61,0.87,76.27485084533691
611,101.254341,0.59,0.81,76.35087132453918
612,106.737984,0.63,0.87,76.02482724189758
613,102.708878,0.62,0.90,76.24248123168945
614,101.277519,0.63,0.87,77.10595512390137
615,102.145088,0.61,0.88,76.10939764976501
616,101.688065,0.66,0.91,75.96981549263
617,101.933334,0.59,0.85,76.11318898200989
618,101.044411,0.65,0.86,76.17135262489319
619,101.434212,0.61,0.87,76.1038076877594
620,98.635750,0.61,0.90,75.79979372024536
621,102.200211,0.64,0.84,75.75516295433044
622,103.763092,0.59,0.85,76.76429271697998
623,102.755836,0.66,0.86,75.96985650062561
620,102.244720,0.59,0.84,152.1252200603485
622,101.425079,0.63,0.91,153.6421046257019
624,102.806831,0.66,0.86,151.15894079208374
626,104.563675,0.70,0.84,149.40807247161865
628,101.582375,0.57,0.86,149.62976551055908
630,102.903816,0.60,0.90,149.43674278259277
632,100.351097,0.64,0.83,149.3182294368744
634,103.161064,0.64,0.81,149.16637182235718
636,100.233040,0.58,0.85,147.71416974067688
638,100.532761,0.62,0.82,147.80457019805908
640,102.420219,0.64,0.87,147.50025343894958
642,99.039017,0.59,0.84,147.67674207687378
644,101.207802,0.63,0.84,147.57708501815796
646,102.694588,0.64,0.91,147.7575080394745
648,100.992203,0.60,0.84,147.69290208816528
650,106.536835,0.64,0.97,147.30089402198792
652,101.432800,0.60,0.91,147.38943099975586
654,103.427681,0.65,0.78,147.2132761478424
656,102.545525,0.61,0.89,146.73223781585693
658,100.349503,0.59,0.83,146.83171725273132
660,102.321121,0.59,0.82,146.63973879814148
662,100.791451,0.60,0.87,146.8458251953125
664,100.959160,0.58,0.85,146.7151861190796
666,101.240845,0.66,0.79,146.55551886558533
668,142.382599,0.75,1.00,146.69716620445251
670,136.685806,0.75,1.00,146.65734767913818
672,nan,0.97,0.97,143.64906525611877
0,160.888321,0.84,1.00
0,155.893997,0.93,1.00,76.35929203033447
1,159.815140,0.84,0.97,72.6471643447876
2,156.642731,0.82,0.97,72.6083025932312
0,158.710098,0.83,1.00,76.1337513923645
1,157.206909,0.85,0.97,72.60374784469604
2,158.712982,0.82,0.97,73.39235591888428
3,156.305023,0.83,0.97,72.61143326759338
0,162.282578,0.87,1.00,76.884286403656
1,159.904388,0.87,1.00,73.7215690612793
2,156.763626,0.94,0.98,73.81540274620056
3,160.245575,0.82,0.98,72.5924961566925
4,157.106461,0.84,0.98,73.19808769226074
5,154.931839,0.84,0.98,72.3934531211853
6,156.919952,0.80,0.98,73.24860715866089
7,157.451248,0.80,0.98,72.33056473731995
8,154.574188,0.79,0.98,73.44758939743042
9,154.157959,0.80,0.98,72.15516901016235
10,154.654480,0.81,0.98,72.97605276107788
11,156.111023,0.82,0.98,71.71740293502808
12,152.330505,0.89,0.98,71.80967402458191
13,152.907684,0.84,0.98,71.70749378204346
0,167.009216,0.87,1.00,74.00058364868164
1,162.906509,0.88,1.00,68.08516359329224
2,160.126907,0.88,0.98,67.62884211540222
3,158.638290,0.84,0.98,68.48095607757568
4,154.921921,0.83,0.98,67.30414772033691
5,157.331711,0.84,0.98,68.07221579551697
6,155.541092,0.82,0.98,67.29994940757751
7,154.626541,0.83,0.98,67.7802939414978
8,156.928101,0.80,0.98,67.09286856651306
9,153.095657,0.81,0.98,67.91058373451233
10,159.398117,0.84,0.98,67.18324613571167
11,154.975006,0.85,0.98,67.60817813873291
12,151.993866,0.83,0.98,66.6669692993164
13,154.426804,0.80,0.98,66.75986433029175
14,152.683960,0.86,0.98,67.12562537193298
15,151.494614,0.83,0.98,67.01665925979614
16,154.895004,0.82,0.98,69.528005361557
0,470.001678,2.32,1.00,70.86746215820312
1,415.042236,1.26,1.00,67.14215421676636
2,318.688904,1.14,1.00,66.58465886116028
3,225.823730,1.09,1.00,65.63365602493286
4,195.410858,0.89,1.00,69.20352220535278
5,176.499069,0.89,1.00,66.65067553520203
6,176.532181,0.89,1.00,66.05576515197754
0,164.523636,0.97,0.98,72.59345316886902
1,143.091705,1.00,1.00,66.24793076515198
2,140.948578,0.98,0.98,65.76668643951416
3,138.367111,0.98,0.98,65.92500329017639
4,137.940628,0.98,0.98,65.39404296875
5,137.345154,0.98,0.98,65.95088458061218
